"","time","MIE1","MIE2","KE1","KE3","KE2","REPLICATE"
"1",1,0.148396264429294,0.00919457713780278,0.00234705153988274,-0.0107387036938055,-0.0722462609622844,1
"2",1,0.0668194000357359,0.0166105353356049,-0.00865754045973377,0.090803349830176,0.0703708685002112,2
"3",1,0.126973248858033,0.0840922351835655,-0.0160241676595893,0.0370113715836083,0.0323584330384936,3
"4",1,0.0354749840207559,0.034697894485282,-0.0510990014650625,0.0482277723253413,0.00445320346608714,4
"5",1,0.157319186427677,-0.00114976731335222,0.00146504018968675,-0.00431371044234605,-0.0687914129052098,5
"6",16,0.0274861845447236,0.0418699534359361,0.600830185325652,0.522529580862253,0.427960222404861,1
"7",16,0.0366150154689892,0.0554116067259517,0.696006165519063,0.443596785401524,0.534749406466721,2
"8",16,0.0755964476639435,0.149663402260752,0.730078251822999,0.44927344629156,0.396010106741181,3
"9",16,0.0516968256276284,0.0259829071570096,0.645427613975369,0.438751376450001,0.563844061605701,4
"10",16,-0.0579117969244874,0.0681904594465443,0.667399770887376,0.32799436913609,0.425281752038782,5
"11",31,-0.0505956387707845,0.0243041052854628,0.698800271226734,0.67104077556824,0.404520839955351,1
"12",31,-0.08228657032769,0.0288939207919466,0.644555543520967,0.720816317886674,0.520660898462248,2
"13",31,-0.0245880658068166,0.0765601345149739,0.682279789285144,0.763048470442033,0.44763166522436,3
"14",31,-0.00664549134105642,0.10236308710617,0.677438232503939,0.665067267281509,0.475023282288092,4
"15",31,-0.0243476911928092,0.0481681624160866,0.684244227307937,0.783024342015772,0.456574048310342,5
"16",46,0.0128253848322722,-0.039559975508877,0.398705653574849,0.701583780158866,0.455488661048085,1
"17",46,-0.0048231609804409,0.0575850138394018,0.527001235993832,0.857391281229987,0.329893541631733,2
"18",46,0.0160822666742412,0.0422392461023454,0.419332852248841,0.723544955625345,0.280511108682015,3
"19",46,-0.00545253301593869,0.0618433824713787,0.437113289377715,0.8176011686227,0.436023791952441,4
"20",46,0.0198821521467787,0.0568637169067558,0.520787145664344,0.799104679493157,0.364888700651553,5
"21",61,0.00191933011557611,0.122986683884943,0.268239678345298,0.743108181913241,0.278300958252316,1
"22",61,0.0477108602858375,-0.00465738509960534,0.229687657892631,0.844693566257751,0.245041134510908,2
"23",61,0.0583924419675473,0.123250401106136,0.317441360565201,0.794099895875924,0.307845920010341,3
"24",61,0.0300771743101532,0.0745524448766533,0.29514889220772,0.790207191657779,0.352871406493905,4
"25",61,-0.0972885339846097,0.0456827591498147,0.269248184724075,0.710323590870787,0.272724474551827,5
"26",76,0.0221654584513022,0.0100981671523079,0.243713590245286,0.925153545403819,0.201327633151357,1
"27",76,0.0117359516949309,0.0147576542231239,0.344048071891541,0.96718656094661,0.279643337739094,2
"28",76,0.0435456974503317,-0.0410196749341493,0.250316806551183,0.849055925597802,0.213960971013301,3
"29",76,0.0342498223201442,0.136635346011772,0.225050609967327,0.845532896334569,0.269289148086651,4
"30",76,-0.00434179030010451,0.0968467994857811,0.253528074624644,0.797084164476823,0.309158899367815,5
"31",91,-0.0105646314123531,0.0643961116235862,0.00493156423764973,0.864267779574698,0.156869847817708,1
"32",91,0.0452391287576342,0.00982882999432826,0.0408567624803644,0.852912905623082,-0.0151407111411809,2
"33",91,-0.00906797295677468,0.116976698529133,0.0559377065304341,0.873269775580401,0.243614632624602,3
"34",91,0.0115997548054189,0.135682207625088,0.055625485656883,0.831690822112635,0.177520586470705,4
"35",91,-0.00277923590388869,0.0227535347835461,0.0488404349368076,0.891481525288471,0.0735493250372559,5
"36",106,0.00094779738345787,0.0455856789012881,0.114910082175331,0.759995622864479,0.101484163293681,1
"37",106,-0.0385741861213025,0.00330228727117969,0.0664848919267644,0.825144054878431,0.161547832319167,2
"38",106,0.00697531231538568,0.0366370231438965,0.081536730693823,0.812248383809339,0.0788683738824933,3
"39",106,0.0285670302282956,0.0423889143854175,-0.0258414334447756,0.794620521843208,0.242753202373743,4
"40",106,-0.124243586125369,0.0723971547355243,0.062661815766018,0.856195572694895,0.0908824875840777,5
"41",121,-0.0279465515147995,0.113322762593269,0.0653516621642773,0.812523614961757,0.0813281963756481,1
