"","time","MIE","KE1","KE2","REPLICATE"
"1",1,0.592957031277844,0.148297519677742,0.0218584027064575,1
"2",1,0.7977676660461,0.246403571990489,-0.255799963011248,2
"3",1,0.882623437575832,-0.0134342902258421,0.387182956459921,3
"4",1,0.494897389821571,0.708427962606981,0.0487646818056131,4
"5",1,0.049932946649699,-0.389661387823031,0.107412319267815,5
"6",6,0.20784181969321,1.07395824277285,1.18722983447172,1
"7",6,0.187569954875566,1.1479485209471,0.986189383094647,2
"8",6,0.371211662270604,0.615857678122925,0.595520883981321,3
"9",6,0.0042604932035219,0.789410224392979,1.45159038562386,4
"10",6,0.641487408804072,1.155502095115,1.47344452336154,5
"11",11,0.205656481594911,1.48615922311129,1.37960481607042,1
"12",11,0.583885533988532,1.6837018512077,0.991156318777655,2
"13",11,0.464947766017838,0.740311595457797,1.62956126485228,3
"14",11,0.0110758005857723,1.50918856088931,1.57444237613887,4
"15",11,-0.0260370198848887,1.03182934714286,1.89563681851384,5
"16",16,-0.0371722345207199,1.26046788469118,1.00465903889984,1
"17",16,-0.342030621470067,0.855461201357962,1.68462758863224,2
"18",16,0.172962545419721,0.865374199737049,1.56137213043164,3
"19",16,0.3479513336784,0.190035362996678,1.78494369938141,4
"20",16,-0.0173529499828421,1.57527198519178,2.1963966868512,5
"21",21,0.236400272071392,1.03846591246364,1.85374709957197,1
"22",21,-0.0154591055833034,1.30190436273144,1.22822392095111,2
"23",21,-0.417067195236469,0.335047159873538,1.95486736181859,3
"24",21,0.703301004468428,0.815306176464351,1.83181031664499,4
"25",21,-0.37406795277833,0.82899033310281,1.94956139498944,5
"26",26,0.285766371568588,0.757857565034643,1.87595357309124,1
"27",26,-0.0276893619507676,0.605552220059278,1.40253004555735,2
"28",26,0.475956832102079,0.405711695508135,1.07776161772424,3
"29",26,0.173186548971021,0.859025795255171,1.37808593095723,4
"30",26,0.418932230147746,0.852417390344021,2.01503640919897,5
"31",31,0.25544460310657,0.832102054273565,1.85432636971185,1
"32",31,-0.134840017958748,0.371942625368642,1.41872115065999,2
"33",31,0.225213358841899,0.630184126021331,1.78495194236942,3
"34",31,-0.215012164575323,1.05420622574584,1.28424921644232,4
"35",31,0.290688944553825,0.768854511737954,2.0226624133491,5
"36",36,-0.0344973904654936,0.666886064352594,1.90331596151179,1
"37",36,0.470082616148783,0.328057980151704,1.86319353121591,2
"38",36,0.18841395758147,0.760207948978175,1.22513542151673,3
"39",36,0.0686039727894226,0.493462271172691,1.54581424909923,4
"40",36,0.171543036179795,0.517581361442101,1.43108886806866,5
"41",41,-0.0764595451506532,0.75894126624279,1.79625598315773,1
"42",41,-0.393199663902879,0.369577607777366,1.44960394268861,2
"43",41,0.519674874784199,0.819684049721699,1.99206487224683,3
"44",41,0.0393510404586696,1.053109106916,2.09428810198682,4
"45",41,0.795772485525804,0.858151665274966,2.00288433338861,5
"46",46,0.150237015877332,-0.0387014436221504,1.47170213218102,1
"47",46,-0.0181387426730846,0.373835625509618,1.96886242355089,2
"48",46,0.23375442362478,0.127096701283326,1.60581732228071,3
"49",46,0.0402931007066977,0.322975709405996,1.68780672529069,4
"50",46,-0.332072964293078,1.07212232396718,2.2019598139757,5
"51",51,-0.395688784549533,0.470139383939248,1.35439050878439,1
"52",51,0.0775280270498405,-0.00110393265976849,1.51125834616846,2
"53",51,0.0921397854201152,0.0246702305261764,1.93444456768904,3
"54",51,-0.280795034796725,0.664600801719628,1.3150370678523,4
"55",51,0.0448698957399788,1.05452305455857,1.70535535980612,5
"56",56,0.509709250514727,0.823980284015413,1.75735091362166,1
"57",56,-0.320626447408245,0.298353661802918,2.3255469603528,2
"58",56,-0.0553385049177688,0.362517420465586,1.86248980268607,3
"59",56,0.144504595518067,-0.322772138428144,1.7643331335178,4
"60",56,-0.124301269408062,0.385571885530078,1.48562190900946,5
"61",61,0.392101957029173,0.28090048707319,2.37830125350103,1
