"","time","MIE","KE1","KE2","REPLICATE"
"1",1,0.429114302815299,-0.0208494458283088,-0.06751561959359,1
"2",1,0.474472136191953,0.034203448609882,0.0984269185747293,2
"3",1,0.389208525752212,0.0528926249097924,0.0246194384283308,3
"4",1,0.638042475636044,0.228602556076,0.0572236542127809,4
"5",1,0.546239996616126,-0.0885241527191957,0.0479077622224591,5
"6",11,0.160166438519114,1.14254317502338,0.850639374285493,1
"7",11,0.376178126605461,1.08083662832007,0.731993579174335,2
"8",11,0.453263002978898,1.20177551688265,0.723338301052572,3
"9",11,0.252189835700882,1.04482018284166,0.891797548362654,4
"10",11,0.384132905014486,0.918703078926523,0.824205572096409,5
"11",21,0.12005138603593,0.659284130921323,0.752415061016938,1
"12",21,0.271707318314137,0.864731827493533,0.745582458494796,2
"13",21,0.306271686750297,0.985309448357577,0.622372561349233,3
"14",21,0.177097682087122,0.718096039855982,0.691429178232239,4
"15",21,0.180451355972962,0.539290726003439,0.669026047497819,5
"16",31,0.0953346983825926,0.592038133267857,0.462752029793894,1
"17",31,0.195060692382983,0.898301749661269,0.581432758809574,2
"18",31,0.0624126526965446,0.472248977275761,0.458298667597119,3
"19",31,0.208271182975417,0.823785189712246,0.579250557474574,4
"20",31,0.0871842085237462,0.794085118170784,0.664881179003364,5
"21",41,0.103857641767025,0.534126882431216,0.525372703529605,1
"22",41,0.12045416747323,0.586996879183041,0.308277462767779,2
"23",41,0.104731495669158,0.479409589180442,0.495055202053834,3
"24",41,-0.00118569064309303,0.467609472951094,0.210757190179837,4
"25",41,0.0432592442740929,0.485329797520574,0.33493164438069,5
"26",51,-0.0272716881697228,0.620534354017019,0.233225832972914,1
"27",51,-0.0803947702311509,0.551533055712247,0.397731391103351,2
"28",51,-0.0198157105457062,0.511657526357715,0.252296042276732,3
"29",51,0.177188027367449,0.496306268659048,0.317465588748559,4
"30",51,-0.0196807142611715,0.738904870815143,0.402749803002701,5
"31",61,0.101314640028637,0.429977973216358,0.42838013005103,1
"32",61,0.0852724812690386,0.457258993978147,0.628021339144281,2
"33",61,0.0988774712351576,0.3435732400892,0.185518427029749,3
"34",61,0.130004437010576,0.464285954891151,0.184390406309241,4
"35",61,0.0819323926459266,0.394418140667308,0.183092665381104,5
"36",71,-0.0687396326418792,0.5424555798897,0.344449363890616,1
"37",71,-0.145881798405472,0.423654604176679,0.186295763454002,2
"38",71,0.31120863689264,0.459147551881395,0.246552850958868,3
"39",71,0.0966215491863902,0.393399302632858,0.248443085481976,4
"40",71,0.0986132836268389,0.38984737717319,0.369886988823915,5
"41",81,0.139579140861287,0.345488463465907,0.351279666063926,1
"42",81,0.0859656308903496,0.495719130370408,0.336802140709042,2
"43",81,-0.107362666235661,0.259913663178657,0.174853814596351,3
"44",81,0.202422221808876,0.531633729257123,0.368249919764013,4
"45",81,0.123690873038562,0.314037847708115,0.33702678752564,5
"46",91,-0.0382470745672662,0.390748727323513,0.249157427055945,1
"47",91,0.0719996289644951,0.353845101305587,0.282414993583443,2
"48",91,0.0510258516525793,0.342937885805641,0.26086887887101,3
"49",91,0.0869442852221944,0.422403194226611,0.275752197864772,4
"50",91,0.138392580074909,0.401024766778367,0.453224010089433,5
